127.0.0.1 - - [25/Oct/2023:00:22:20 +0800] "GET /host-manager/html HTTP/1.1" 401 2098
127.0.0.1 - admin [25/Oct/2023:00:22:27 +0800] "GET /host-manager/html HTTP/1.1" 403 3095
127.0.0.1 - admin [25/Oct/2023:00:22:32 +0800] "GET /host-manager/html HTTP/1.1" 403 3095
127.0.0.1 - admin [25/Oct/2023:00:22:34 +0800] "GET /host-manager/html HTTP/1.1" 403 3095
127.0.0.1 - admin [25/Oct/2023:00:22:35 +0800] "GET /host-manager/html HTTP/1.1" 403 3095
127.0.0.1 - - [25/Oct/2023:00:22:41 +0800] "GET /host-manager/ HTTP/1.1" 302 -
127.0.0.1 - admin [25/Oct/2023:00:22:41 +0800] "GET /host-manager/html HTTP/1.1" 403 3095
127.0.0.1 - admin [25/Oct/2023:00:22:47 +0800] "GET /host-manager/html HTTP/1.1" 403 3095
127.0.0.1 - - [25/Oct/2023:00:22:47 +0800] "GET /favicon.ico HTTP/1.1" 404 712
127.0.0.1 - admin [25/Oct/2023:00:22:49 +0800] "GET /host-manager/html HTTP/1.1" 403 3095
127.0.0.1 - - [25/Oct/2023:00:22:49 +0800] "GET /favicon.ico HTTP/1.1" 404 712
218.17.207.82 - - [25/Oct/2023:00:23:01 +0800] "GET /manager HTTP/1.1" 302 -
218.17.207.82 - - [25/Oct/2023:00:23:01 +0800] "GET /manager/ HTTP/1.1" 403 3529
127.0.0.1 - - [25/Oct/2023:00:24:34 +0800] "GET /Tetris/ HTTP/1.1" 200 11678
127.0.0.1 - - [25/Oct/2023:00:24:53 +0800] "GET /Tetris/ HTTP/1.1" 200 11678
127.0.0.1 - - [25/Oct/2023:00:25:16 +0800] "GET /Tetris/ HTTP/1.1" 200 11679
127.0.0.1 - - [25/Oct/2023:00:25:52 +0800] "GET /Tetris/ HTTP/1.1" 200 11678
127.0.0.1 - - [25/Oct/2023:00:26:00 +0800] "GET /Tetris/ HTTP/1.1" 200 11678
124.71.213.88 - - [25/Oct/2023:00:26:47 +0800] "CONNECT httpbin.org:443 HTTP/1.1" 501 651
141.98.11.60 - - [25/Oct/2023:00:27:52 +0800] "GET / HTTP/1.1" 200 886
103.39.226.253 - - [25/Oct/2023:00:32:11 +0800] "GET /x/web-interface/zone HTTP/1.1" 404 729
103.39.226.253 - - [25/Oct/2023:00:32:19 +0800] "GET /x/web-interface/zone HTTP/1.1" 404 729
103.39.226.253 - - [25/Oct/2023:00:35:52 +0800] "GET /x/web-interface/zone HTTP/1.1" 404 729
185.36.81.33 - - [25/Oct/2023:00:37:12 +0800] "GET / HTTP/1.1" 200 886
115.205.208.34 - - [25/Oct/2023:00:37:23 +0800] "CONNECT www.bing.com:443 HTTP/1.1" 501 651
183.193.145.35 - - [25/Oct/2023:00:38:41 +0800] "CONNECT api.bilibili.com:443 HTTP/1.0" 501 651
45.125.236.56 - - [25/Oct/2023:00:41:00 +0800] "GET /api_v3/find/dynamic_list HTTP/1.1" 404 733
